time,side,entry_raw,entry,sl,tp,atr,spread_pts,lots,R,pnl_usd,equity_after,outcome
2025-08-19T09:46:00+00:00,buy,1.16685,1.1669,1.16664,1.16769,0.00018,8.0,7.19,3.0,570.85,10085.05,TP
2025-08-19T10:06:00+00:00,buy,1.16801,1.16806,1.16774,1.16901,0.00021,8.0,6.39,-1.0,-201.7,9883.35,SL
2025-08-19T13:19:00+00:00,buy,1.16852,1.16857,1.16837,1.16916,0.00013,12.0,10.0,3.0,593.0,10476.35,TP
2025-08-20T10:20:00+00:00,buy,1.16431,1.16436,1.16404,1.16533,0.00021,8.0,6.5,3.0,628.58,11104.93,TP
2025-08-22T06:27:00+00:00,sell,1.16021,1.16016,1.1603,1.15974,9e-05,11.0,15.91,3.0,666.3,11771.23,TP
2025-08-22T06:48:00+00:00,sell,1.15914,1.15909,1.15931,1.15843,0.00015,9.0,10.75,3.0,706.27,12477.5,TP
2025-08-22T07:20:00+00:00,sell,1.15887,1.15882,1.15898,1.15833,0.00011,10.0,15.27,3.0,748.65,13226.15,TP
2025-08-25T09:06:00+00:00,buy,1.17067,1.17072,1.17049,1.1714,0.00015,9.0,11.58,3.0,793.57,14019.72,TP
2025-08-26T10:09:00+00:00,sell,1.1613,1.16125,1.16168,1.15995,0.00029,8.0,6.47,0.0,0.0,14019.72,BE
2025-08-28T07:03:00+00:00,sell,1.1641,1.16405,1.16418,1.16365,9e-05,12.0,21.0,3.0,841.18,14860.9,TP
2025-09-01T06:01:00+00:00,buy,1.17134,1.17139,1.17119,1.17198,0.00013,11.0,15.2,-1.0,-297.22,14563.68,SL
2025-09-01T09:30:00+00:00,buy,1.17233,1.17238,1.17215,1.17307,0.00015,11.0,12.75,3.0,873.82,15437.51,TP
2025-09-03T07:02:00+00:00,sell,1.16219,1.16214,1.16225,1.16181,7e-05,10.0,27.82,-1.0,-308.75,15128.76,SL
2025-09-03T10:16:00+00:00,sell,1.16255,1.1625,1.16277,1.16168,0.00018,9.0,11.06,3.0,907.73,16036.48,TP
2025-09-05T13:24:00+00:00,buy,1.16929,1.16934,1.16914,1.16995,0.00014,1.0,15.8,3.0,962.19,16998.67,TP
2025-09-05T13:49:00+00:00,buy,1.16962,1.16967,1.16948,1.17025,0.00013,1.0,17.64,3.0,1019.92,18018.59,TP
2025-09-05T15:08:00+00:00,buy,1.16994,1.16999,1.1696,1.17117,0.00026,0.0,9.18,3.0,1081.12,19099.7,TP
2025-09-08T08:20:00+00:00,buy,1.17185,1.1719,1.17171,1.17246,0.00012,2.0,20.59,3.0,1145.98,20245.69,TP
2025-09-08T10:02:00+00:00,buy,1.17287,1.17292,1.17258,1.17395,0.00023,1.0,11.81,3.0,1214.74,21460.43,TP
2025-09-09T08:53:00+00:00,buy,1.17779,1.17784,1.17764,1.17845,0.00014,2.0,21.1,-1.0,-429.21,21031.22,SL
2025-09-10T07:16:00+00:00,buy,1.17108,1.17113,1.17099,1.17154,9e-05,2.0,30.54,3.0,1261.87,22293.09,TP
2025-09-10T07:58:00+00:00,buy,1.17143,1.17148,1.17133,1.17192,0.0001,2.0,30.51,0.0,0.0,22293.09,BE
2025-09-11T15:31:00+00:00,buy,1.17138,1.17143,1.17026,1.17493,0.00078,0.0,3.82,0.0,0.0,22293.09,BE
2025-09-11T15:56:00+00:00,buy,1.17154,1.17159,1.17057,1.17464,0.00068,0.0,4.38,0.0,0.0,22293.09,BE
