i,time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
148,2025-05-16T17:31:00+00:00,sell,1.11797,1.11843,1.11659,0.00031,3.0,2.89,8.66,152.91,TP
149,2025-05-16T17:32:00+00:00,sell,1.11785,1.1183,1.11649,0.0003,3.0,3.06,9.17,162.09,TP
150,2025-05-16T17:33:00+00:00,sell,1.11746,1.11793,1.11604,0.00031,3.0,3.24,9.73,171.81,TP
151,2025-05-16T17:34:00+00:00,sell,1.11742,1.11789,1.116,0.00032,3.0,3.44,10.31,182.12,TP
152,2025-05-16T17:35:00+00:00,sell,1.11715,1.11766,1.11562,0.00034,3.0,3.64,10.93,193.05,TP
153,2025-05-16T17:36:00+00:00,sell,1.1168,1.11733,1.11522,0.00035,3.0,3.86,11.58,204.63,TP
154,2025-05-16T17:37:00+00:00,sell,1.11652,1.11706,1.11489,0.00036,3.0,4.09,12.28,216.91,TP
155,2025-05-16T17:39:00+00:00,sell,1.11615,1.11672,1.11445,0.00038,3.0,4.34,13.01,229.92,TP
156,2025-05-16T18:24:00+00:00,sell,1.1144,1.11482,1.11314,0.00028,-1.0,4.6,-4.6,225.32,SL
157,2025-05-16T18:30:00+00:00,sell,1.11414,1.11452,1.113,0.00025,-1.0,4.51,-4.51,220.82,SL
158,2025-05-16T18:57:00+00:00,sell,1.11402,1.11433,1.11309,0.00021,-1.0,4.42,-4.42,216.4,SL
159,2025-05-16T18:59:00+00:00,sell,1.11398,1.11427,1.11311,0.00019,-1.0,4.33,-4.33,212.07,SL
160,2025-05-16T19:02:00+00:00,sell,1.11405,1.1144,1.113,0.00023,-1.0,4.24,-4.24,207.83,SL
161,2025-05-16T19:05:00+00:00,sell,1.1136,1.114,1.1124,0.00027,-1.0,4.16,-4.16,203.67,SL
162,2025-05-16T19:06:00+00:00,sell,1.11367,1.11408,1.11243,0.00027,-1.0,4.07,-4.07,199.6,SL
163,2025-05-16T19:16:00+00:00,sell,1.11333,1.11371,1.1122,0.00025,-1.0,3.99,-3.99,195.61,SL
164,2025-05-19T18:49:00+00:00,sell,1.12505,1.12537,1.1241,0.00021,3.0,3.91,11.74,207.34,TP
165,2025-05-19T18:52:00+00:00,sell,1.12466,1.12497,1.12372,0.00021,3.0,4.15,12.44,219.79,TP
166,2025-05-19T18:53:00+00:00,sell,1.12425,1.1246,1.12321,0.00023,3.0,4.4,13.19,232.97,TP
167,2025-05-19T18:54:00+00:00,sell,1.12392,1.12428,1.12284,0.00024,3.0,4.66,13.98,246.95,TP
168,2025-05-19T18:55:00+00:00,sell,1.12379,1.12415,1.1227,0.00024,3.0,4.94,14.82,261.77,TP
169,2025-05-19T18:56:00+00:00,sell,1.12364,1.12401,1.12253,0.00025,3.0,5.24,15.71,277.47,TP
170,2025-05-19T19:05:00+00:00,sell,1.12306,1.12346,1.12186,0.00027,-1.0,5.55,-5.55,271.92,SL
171,2025-05-19T20:11:00+00:00,sell,1.12297,1.12324,1.12217,0.00018,-1.0,5.44,-5.44,266.49,SL
172,2025-05-19T20:12:00+00:00,sell,1.1228,1.12308,1.12195,0.00019,-1.0,5.33,-5.33,261.16,SL
173,2025-05-19T20:13:00+00:00,sell,1.12281,1.12308,1.12199,0.00018,-1.0,5.22,-5.22,255.93,SL
174,2025-05-19T20:14:00+00:00,sell,1.12275,1.12302,1.12194,0.00018,-1.0,5.12,-5.12,250.81,SL
175,2025-05-19T20:15:00+00:00,sell,1.12265,1.12293,1.12182,0.00018,-1.0,5.02,-5.02,245.8,SL
176,2025-05-20T03:00:00+00:00,sell,1.12304,1.12316,1.12269,8e-05,3.0,4.92,14.75,260.55,TP
177,2025-05-20T03:01:00+00:00,sell,1.12302,1.12314,1.12266,8e-05,3.0,5.21,15.63,276.18,TP
178,2025-05-20T03:02:00+00:00,sell,1.12263,1.12279,1.12216,0.00011,-1.0,5.52,-5.52,270.66,SL
179,2025-05-20T03:03:00+00:00,sell,1.12265,1.12281,1.12218,0.0001,-1.0,5.41,-5.41,265.24,SL
180,2025-05-20T03:07:00+00:00,sell,1.12267,1.12283,1.12218,0.00011,-1.0,5.3,-5.3,259.94,SL
181,2025-05-20T03:08:00+00:00,sell,1.12253,1.1227,1.12202,0.00011,-1.0,5.2,-5.2,254.74,SL
182,2025-05-20T03:17:00+00:00,sell,1.12257,1.12277,1.12197,0.00013,3.0,5.09,15.28,270.02,TP
183,2025-05-20T03:20:00+00:00,sell,1.12254,1.12273,1.12196,0.00013,3.0,5.4,16.2,286.22,TP
184,2025-05-20T03:23:00+00:00,sell,1.12227,1.12248,1.12164,0.00014,-1.0,5.72,-5.72,280.5,SL
185,2025-05-20T03:24:00+00:00,sell,1.12229,1.1225,1.12167,0.00014,-1.0,5.61,-5.61,274.89,SL
186,2025-05-20T03:25:00+00:00,sell,1.12223,1.12244,1.1216,0.00014,-1.0,5.5,-5.5,269.39,SL
187,2025-05-20T03:29:00+00:00,sell,1.1221,1.12232,1.12145,0.00014,-1.0,5.39,-5.39,264.0,SL
188,2025-05-20T17:51:00+00:00,buy,1.12625,1.1258,1.1276,0.0003,-1.0,5.28,-5.28,258.72,SL
189,2025-05-20T17:52:00+00:00,buy,1.12642,1.12598,1.12775,0.0003,-1.0,5.17,-5.17,253.55,SL
190,2025-05-20T17:53:00+00:00,buy,1.12646,1.12603,1.12776,0.00029,-1.0,5.07,-5.07,248.48,SL
191,2025-05-20T17:55:00+00:00,buy,1.12666,1.12622,1.12797,0.00029,-1.0,4.97,-4.97,243.51,SL
192,2025-05-20T20:32:00+00:00,buy,1.12692,1.12668,1.12763,0.00016,3.0,4.87,14.61,258.12,TP
193,2025-05-20T20:33:00+00:00,buy,1.12707,1.12683,1.1278,0.00016,3.0,5.16,15.49,273.61,TP
194,2025-05-20T21:11:00+00:00,buy,1.12762,1.12738,1.12835,0.00016,-1.0,5.47,-5.47,268.13,SL
195,2025-05-20T21:13:00+00:00,buy,1.12788,1.12762,1.12867,0.00018,-1.0,5.36,-5.36,262.77,SL
196,2025-05-20T21:25:00+00:00,buy,1.12785,1.12757,1.12869,0.00019,-1.0,5.26,-5.26,257.52,SL
197,2025-05-20T21:26:00+00:00,buy,1.12783,1.12756,1.12864,0.00018,-1.0,5.15,-5.15,252.37,SL
198,2025-05-20T22:44:00+00:00,buy,1.12803,1.12789,1.12846,9e-05,-1.0,5.05,-5.05,247.32,SL
199,2025-05-20T22:45:00+00:00,buy,1.12807,1.12793,1.1285,9e-05,-1.0,4.95,-4.95,242.37,SL
200,2025-05-20T22:47:00+00:00,buy,1.12813,1.12798,1.12857,0.0001,-1.0,4.85,-4.85,237.53,SL
