i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
174,2025-08-19T10:59:00+00:00,buy,1.16831,1.16803,1.16915,0.00019,-1.0,SL,1.42,-1.42,140.64
175,2025-08-19T13:19:00+00:00,buy,1.16852,1.16832,1.16911,0.00013,3.0,TP,1.41,4.22,144.86
176,2025-08-19T13:20:00+00:00,buy,1.16877,1.16855,1.16943,0.00015,-1.0,SL,1.45,-1.45,143.42
177,2025-08-19T13:23:00+00:00,buy,1.16888,1.16865,1.16956,0.00015,-1.0,SL,1.43,-1.43,141.98
178,2025-08-19T13:26:00+00:00,buy,1.16913,1.16891,1.1698,0.00015,-1.0,SL,1.42,-1.42,140.56
179,2025-08-20T10:20:00+00:00,buy,1.16431,1.16399,1.16528,0.00021,-1.0,SL,1.41,-1.41,139.16
180,2025-08-21T16:34:00+00:00,sell,1.16437,1.16467,1.16348,0.0002,3.0,TP,1.39,4.17,143.33
181,2025-08-21T16:40:00+00:00,sell,1.16402,1.16432,1.16312,0.0002,3.0,TP,1.43,4.3,147.63
182,2025-08-21T16:41:00+00:00,sell,1.16404,1.16433,1.16317,0.00019,3.0,TP,1.48,4.43,152.06
183,2025-08-21T16:42:00+00:00,sell,1.16375,1.16405,1.16284,0.0002,3.0,TP,1.52,4.56,156.62
184,2025-08-21T16:43:00+00:00,sell,1.16368,1.16398,1.16277,0.0002,3.0,TP,1.57,4.7,161.32
185,2025-08-21T16:44:00+00:00,sell,1.16345,1.16376,1.16252,0.00021,3.0,TP,1.61,4.84,166.16
186,2025-08-21T16:45:00+00:00,sell,1.16226,1.16273,1.16086,0.00031,-1.0,SL,1.66,-1.66,164.5
187,2025-08-21T16:46:00+00:00,sell,1.16277,1.16328,1.16124,0.00034,3.0,TP,1.64,4.93,169.43
188,2025-08-21T16:51:00+00:00,sell,1.1622,1.16277,1.1605,0.00038,-1.0,SL,1.69,-1.69,167.74
189,2025-08-21T17:40:00+00:00,sell,1.16123,1.1616,1.16012,0.00025,-1.0,SL,1.68,-1.68,166.06
190,2025-08-21T17:41:00+00:00,sell,1.16107,1.16144,1.15997,0.00025,-1.0,SL,1.66,-1.66,164.4
