i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
450,2025-08-26T11:12:00+01:00,sell,1.16062,1.1611,1.15917,0.00032,-1.0,SL,242.27,2.42,-2.42,239.85
451,2025-08-26T11:13:00+01:00,sell,1.16047,1.16095,1.15904,0.00032,-1.0,SL,239.85,2.4,-2.4,237.45
452,2025-08-26T11:19:00+01:00,sell,1.1603,1.16084,1.15868,0.00036,-1.0,SL,237.45,2.37,-2.37,235.07
453,2025-08-26T22:00:00+01:00,sell,1.16377,1.16397,1.16316,0.00014,-1.0,SL,235.07,2.35,-2.35,232.72
454,2025-08-26T22:01:00+01:00,sell,1.1636,1.16381,1.16297,0.00014,-1.0,SL,232.72,2.33,-2.33,230.4
455,2025-08-27T08:20:00+01:00,sell,1.16167,1.16183,1.16118,0.00011,3.0,TP,230.4,2.3,6.91,237.31
456,2025-08-27T08:21:00+01:00,sell,1.16159,1.16176,1.16108,0.00011,-1.0,SL,237.31,2.37,-2.37,234.94
457,2025-08-27T08:22:00+01:00,sell,1.16154,1.16171,1.16103,0.00011,-1.0,SL,234.94,2.35,-2.35,232.59
458,2025-08-27T08:23:00+01:00,sell,1.16155,1.16172,1.16105,0.00011,-1.0,SL,232.59,2.33,-2.33,230.26
459,2025-08-27T08:42:00+01:00,sell,1.16128,1.16143,1.16082,0.0001,-1.0,SL,230.26,2.3,-2.3,227.96
460,2025-08-27T08:43:00+01:00,sell,1.16123,1.16139,1.16075,0.00011,-1.0,SL,227.96,2.28,-2.28,225.68
461,2025-08-27T11:01:00+01:00,sell,1.16149,1.16178,1.16062,0.00019,-1.0,SL,225.68,2.26,-2.26,223.42
462,2025-08-27T11:02:00+01:00,sell,1.16154,1.16184,1.16065,0.0002,3.0,TP,223.42,2.23,6.7,230.12
463,2025-08-27T11:14:00+01:00,sell,1.16105,1.16131,1.16026,0.00017,-1.0,SL,230.12,2.3,-2.3,227.82
464,2025-08-27T11:29:00+01:00,sell,1.16047,1.16076,1.15959,0.00019,3.0,TP,227.82,2.28,6.83,234.66
465,2025-08-27T11:30:00+01:00,sell,1.1604,1.16069,1.15952,0.0002,3.0,TP,234.66,2.35,7.04,241.7
466,2025-08-27T11:31:00+01:00,sell,1.1604,1.1607,1.15951,0.0002,3.0,TP,241.7,2.42,7.25,248.95
467,2025-08-27T11:36:00+01:00,sell,1.15973,1.16009,1.15866,0.00024,-1.0,SL,248.95,2.49,-2.49,246.46
468,2025-08-27T11:37:00+01:00,sell,1.15979,1.16014,1.15875,0.00023,-1.0,SL,246.46,2.46,-2.46,243.99
